Index,Lon_4326,Lat_4326,CenX_32610,CenY_32610,BBox_32610,Area_32610,Len_32610,Wid_32610,Peri_32610,BCR_32610
"581",-122.484208161703037,49.164662606186283,537601.723019169061445,5445888.859205154702067,"(537601.6908262039, 5445888.823231567, 537601.7555150328, 5445888.894719221)",0.003396045056133,0.071487654000521,0.064688828890212,0.285491109790148,0.038910384281978
"582",-122.484113786372049,49.164663898619587,537608.602066418970935,5445889.049747817218304,"(537608.5616735154, 5445889.0094104465, 537608.6503608266, 5445889.087487073)",0.004424099465025,0.078076626174152,0.088687311275862,0.448628305839992,0.052987590673011
"583",-122.484142175733268,49.164668557530099,537606.528934529749677,5445889.553569899871945,"(537606.491885258, 5445889.508578306, 537606.5602736542, 5445889.596966683)",0.004227729118643,0.088388376869261,0.068388396175578,0.367060248520386,0.049908117303225
"584",-122.484142346769545,49.164670635094708,537606.514892565668561,5445889.784443237818778,"(537606.4667755137, 5445889.72935246, 537606.5584446428, 5445889.838318025)",0.006630372682340,0.108965564519167,0.091669129091315,0.469020725364298,0.064067189631082
"585",-122.484181366080335,49.164672112301901,537603.669240039889701,5445889.929284596815705,"(537603.4074259305, 5445889.7120545525, 537603.9803973888, 5445890.170577394)",0.137297225177605,0.458522841334343,0.572971458313987,3.942488226585344,0.344953283490202
"586",-122.484124743425141,49.164676458486646,537607.793778060120530,5445890.440558954142034,"(537607.6074673829, 5445890.343251008, 537607.9777970981, 5445890.547865326)",0.046458808614579,0.204614317975938,0.370329715195112,1.237123598166622,0.191311670781375
"587",-122.484127552973078,49.164683077249826,537607.583947719889693,5445891.174956974573433,"(537607.5278133607, 5445891.126721393, 537607.6399897189, 5445891.2220228575)",0.007057764362774,0.095301464200020,0.112176358234137,0.475817678187478,0.057149626023960
"588",-122.484119434441098,49.164686203268325,537608.173426592140459,5445891.526501414366066,"(537608.1199720636, 5445891.348241143, 537608.2690929045, 5445891.695321465)",0.027272308694264,0.347080321982503,0.149120840942487,1.413861699449421,0.179981311277854
"589",-122.484140255298939,49.164694641408161,537606.649182462017052,5445892.454210805706680,"(537606.5911563934, 5445892.398483261, 537606.7002814248, 5445892.513945179)",0.007173274419410,0.115461918525398,0.109125031391159,0.557386763770504,0.066023309558494
"590",-122.484180037489125,49.164702561864097,537603.743037899956107,5445893.314955023117363,"(537603.6694787936, 5445893.25896618, 537603.808288142, 5445893.384971341)",0.008582515179556,0.126005161553621,0.138809348340146,0.958431318508831,0.082070481960088
"591",-122.484201858917174,49.164703058931707,537602.151865812833421,5445893.359377278946340,"(537601.8953271027, 5445893.09593326, 537602.3524687272, 5445893.605732643)",0.113397780670131,0.509799382649362,0.457141624414362,4.459087934338253,0.294686150421912
"592",-122.484179150654597,49.164704751682443,537603.806030499166809,5445893.558832681737840,"(537603.7254720895, 5445893.514282566, 537603.87489388, 5445893.613005829)",0.007334989237688,0.098723263479769,0.149421790498309,0.720522847115917,0.089046805443904
"593",-122.484178618927388,49.164708258023261,537603.842138617997989,5445893.948888903483748,"(537603.8110571367, 5445893.905476004, 537603.8723704843, 5445893.99374863)",0.002483500094454,0.088272626511753,0.061313347541727,0.401046542215120,0.047037878493907
"594",-122.484179595615743,49.164708924135738,537603.770433035097085,5445894.022454160265625,"(537603.7253981214, 5445893.969448699, 537603.810895084, 5445894.078229049)",0.005128716434129,0.108780350536108,0.085496962652542,0.577778625243085,0.061176160674814
"595",-122.484185852072684,49.164709881015192,537603.313608915195800,5445894.125721579417586,"(537603.1982477952, 5445893.997073504, 537603.4191786534, 5445894.27925509)",0.038188144452964,0.282181586138904,0.220930858165957,1.169154018116364,0.155752704963927
"596",-122.484185769057831,49.164718696900344,537603.312985149095766,5445895.105805331841111,"(537603.2186534788, 5445895.033410933, 537603.4024082752, 5445895.207113113)",0.021866347358127,0.173702180385590,0.183754796395078,0.897255593663492,0.104089012399298
"597",-122.484229558279878,49.164719122408613,537600.120402407017536,5445895.131364895962179,"(537600.0779956345, 5445895.106906468, 537600.1561629626, 5445895.158164175)",0.002067657758546,0.051257707178593,0.078167328028940,0.360261760048574,0.042484506502266
"598",-122.484191544136038,49.164734923056585,537602.879691814072430,5445896.906763670034707,"(537602.7034869578, 5445896.8141669165, 537603.0500493572, 5445897.005580035)",0.046632021052198,0.191413118503988,0.346562399412505,1.420653020745363,0.178973241723992
"599",-122.484153419238083,49.164735041370328,537605.658929253928363,5445896.938848312944174,"(537605.5718639905, 5445896.8475317275, 537605.7416076978, 5445897.031105809)",0.021681521847682,0.183574081398547,0.169743707287125,0.795295895813732,0.100795079654514
"600",-122.484108600862911,49.164741905472766,537608.921016193577088,5445897.724173021502793,"(537608.7608551, 5445897.61401841, 537609.0942861931, 5445897.838515362)",0.046966998583584,0.224496951326728,0.333431093138643,1.400259280726809,0.173810411684081
"601",-122.484227727565411,49.164745160984026,537600.234147198614664,5445898.026924936100841,"(537600.1907253924, 5445897.979725371, 537600.2689621239, 5445898.075003661)",0.004400989923971,0.095278290100396,0.078236731467769,0.482614484481171,0.053181816520223
"602",-122.484124288632700,49.164758315035975,537607.764941719593480,5445899.540596963837743,"(537607.7326408357, 5445899.506022041, 537607.8072706071, 5445899.57418051)",0.002656764937552,0.068158469162881,0.074629771406762,0.360261439829633,0.044354075772927
"603",-122.484122540454393,49.164759610745620,537607.891403607442044,5445899.685506331734359,"(537607.8199619532, 5445899.632420821, 537607.972921057, 5445899.7417568285)",0.010003297114590,0.109336007386446,0.152959103812464,0.774901873697615,0.082304128894845
"604",-122.484127503183132,49.164759682917321,537607.529563346761279,5445899.691064897924662,"(537607.4492624108, 5445899.626591175, 537607.6129034522, 5445899.759254775)",0.014369632419101,0.132663600146770,0.163641041493975,0.842875866344533,0.098954391224673
"605",-122.484207109124668,49.164760784606742,537601.725413030711934,5445899.774006395600736,"(537601.6811369859, 5445899.726696543, 537601.769662023, 5445899.828702717)",0.005983496240847,0.102006173692644,0.088525037164800,0.441830869900090,0.055147288342993
"606",-122.484164599722902,49.164761227389896,537604.824036005069502,5445899.844338274560869,"(537604.7493571537, 5445899.757773373, 537604.9228697676, 5445899.908078491)",0.019798672834997,0.150305117480457,0.173512613982894,0.652549582500475,0.107942418820459
"607",-122.484131206836153,49.164761914259039,537607.257875235285610,5445899.937278932891786,"(537606.9481667344, 5445899.658586727, 537607.6176863147, 5445900.223366664)",0.233980112558665,0.564779936335981,0.669519580318592,3.405489860008446,0.359831524164718
"608",-122.484120411126582,49.164766077387547,537608.041735445498489,5445900.405446154065430,"(537607.897082428, 5445900.259256484, 537608.2094504591, 5445900.569321959)",0.058391063187569,0.310065475292504,0.312368031125516,1.821700366527219,0.202416242907259
"609",-122.484177702524249,49.164769021862831,537603.862932495656423,5445900.704326087608933,"(537603.7956444913, 5445900.631660688, 537603.9283278601, 5445900.767722938)",0.011851478996363,0.136062250472605,0.132683368748985,0.666144334601725,0.076097923909403
"610",-122.484112096713346,49.164783998999411,537608.634287987370044,5445902.401881454512477,"(537608.2560151758, 5445901.98319352, 537608.9847225904, 5445902.7688865485)",0.406346208822944,0.785693028010428,0.728707414586097,4.635818709316798,0.426487485320866
"611",-122.484126648529468,49.164788119041461,537607.570333107956685,5445902.852670625783503,"(537607.2789803275, 5445902.5637765, 537607.9250105316, 5445903.23335933)",0.257786900229876,0.669582830742002,0.646030204021372,3.806540699900800,0.380824859724510
"612",-122.484201403048729,49.164794301298485,537602.116010192083195,5445903.502816516906023,"(537602.080818837, 5445903.464789742, 537602.1486051278, 5445903.539722361)",0.002714518691531,0.074932618997991,0.067786290775985,0.455424118162405,0.049070722415740
"613",-122.484167298022001,49.164804024989536,537604.594920049537905,5445904.600713213905692,"(537604.5271349333, 5445904.568913707, 537604.6460155604, 5445904.637373115)",0.003580853764508,0.068459408357739,0.118880627094768,0.536992971614472,0.070200979089900
"614",-122.484176072696684,49.164809775410809,537603.950887655955739,5445905.235617569647729,"(537603.8836887317, 5445905.173385087, 537604.0163951444, 5445905.302210166)",0.009298667570116,0.128825078718364,0.132706412696280,0.849673934076590,0.073102838005201
"615",-122.484107220429863,49.164813263423312,537608.967608421109617,5445905.657564735971391,"(537608.8226905336, 5445905.540116268, 537609.1285852622, 5445905.778601474)",0.049519733358863,0.238485205918550,0.305894728633575,1.284705301106227,0.161325992449024
"616",-122.484125106270596,49.164817965618454,537607.660161350504495,5445906.171414746902883,"(537607.5784143157, 5445906.119379517, 537607.741707875, 5445906.208369854)",0.010684802705152,0.088990337215364,0.163293559337035,0.536991797659976,0.085717751241179
"617",-122.484207628600245,49.164817931723775,537601.644271674565971,5445906.126667578704655,"(537601.4677111475, 5445906.007355545, 537601.8110364376, 5445906.257768598)",0.055075825333642,0.250413053669035,0.343325290130451,1.617775746688894,0.206796814514086
"618",-122.484129655373110,49.164820419745105,537607.326671172399074,5445906.441975438036025,"(537607.2199435026, 5445906.338023678, 537607.4442492898, 5445906.590288727)",0.023206235071399,0.252265048213303,0.224305787240155,1.407059665306013,0.168101749275375
"619",-122.484124219044560,49.164827998798941,537607.717242262791842,5445907.287221942096949,"(537607.6694945516, 5445907.255204238, 537607.7580194952, 5445907.319501)",0.002541249837246,0.064296762458980,0.088524943566881,0.482614579635105,0.054956328947194
"620",-122.484121868918010,49.164828451677437,537607.888224541093223,5445907.338734580203891,"(537607.764839792, 5445907.229079942, 537607.9956648545, 5445907.467009478)",0.034110503414490,0.237929536029696,0.230825062491931,1.311895731510025,0.145100750311147
"621",-122.484112449472207,49.164830328939594,537608.573484564898536,5445907.552103662863374,"(537608.4866981407, 5445907.505811842, 537608.6468014737, 5445907.600557645)",0.008074243540725,0.094745802693069,0.160103332949802,0.720521765761031,0.089293356579246
"622",-122.484113868276339,49.164831802347031,537608.468937281519175,5445907.715194496326149,"(537608.4140315461, 5445907.641318443, 537608.5371904975, 5445907.780270012)",0.008801964738865,0.138951568864286,0.123158951406367,0.734117977489355,0.098026832819657
"623",-122.484158366208391,49.164844829503522,537605.215153716388159,5445909.141296585090458,"(537605.1757342876, 5445909.097348933, 537605.2474978492, 5445909.1755644735)",0.003407583930745,0.078215540386736,0.071763561572880,0.373856599092848,0.051742125732481
"624",-122.484174954323379,49.164846127887657,537604.004890054115094,5445909.277397734113038,"(537603.9071876308, 5445909.217747281, 537604.1246267098, 5445909.32084151)",0.011782154003291,0.103094228543341,0.217439079075120,1.006011110428971,0.121315727445655
"625",-122.484202994781214,49.164847459922377,537601.959720482700504,5445909.411553301848471,"(537601.9078325831, 5445909.346879303, 537602.0201706126, 5445909.4796817815)",0.008594041513669,0.132802478037775,0.112338029546663,0.795294097774198,0.069896284839561
"626",-122.484146913514181,49.164848702840395,537606.047126672114246,5445909.577574285678566,"(537605.9850524425, 5445909.52110273, 537606.1077251111, 5445909.629744177)",0.006122099363704,0.108641446568072,0.122672668541782,0.591371794741155,0.071380237713715
"627",-122.484125197490854,49.164854420907581,537607.625903300242499,5445910.224023661576211,"(537607.5709992261, 5445910.150216514, 537607.6937181992, 5445910.282648596)",0.009749153409779,0.132432081736624,0.122718973085284,0.550588738269297,0.077792195764466
"628",-122.484223129482430,49.164857125316445,537600.484574143192731,5445910.476036235690117,"(537600.456217721, 5445910.451686888, 537600.5105022491, 5445910.499522788)",0.001801976093572,0.047835900448263,0.054284528130665,0.217516298952510,0.033378237957728
"629",-122.484101359058215,49.164864039360957,537609.356450048158877,5445911.305124923586845,"(537609.1064251156, 5445911.02544679, 537609.5739509243, 5445911.5823643925)",0.181017717598992,0.556917602196336,0.467525808722712,3.276341720854444,0.312173936068715
"630",-122.484183238776183,49.164867089757607,537603.385077119106427,5445911.603568845428526,"(537603.3340335751, 5445911.538682249, 537603.4430192979, 5445911.671091193)",0.008085788663881,0.132408943958580,0.108985722763464,0.768103992574704,0.080308015900544
"631",-122.484180977565046,49.164874991936152,537603.543936494272202,5445912.483159481547773,"(537603.4740603748, 5445912.4372718595, 537603.6001546776, 5445912.528966304)",0.004759063479275,0.091694444417953,0.126094302861020,0.604966220982395,0.070320052851192
"632",-122.484111322516711,49.164877481393965,537608.619929995620623,5445912.794497872702777,"(537608.5497856695, 5445912.753717358, 537608.6959241221, 5445912.839193287)",0.007219452764633,0.085475929081440,0.146138452575542,0.808886757872971,0.077092325509887
